event_datetime,day_0_date,ticker
2000-01-31T00:00:00+00:00,2000-02-01,ALK
2001-11-12T00:00:00+00:00,2001-11-12,AMR
2010-09-03T15:42:00+00:00,2010-09-03,UPS
2013-08-14T00:00:00+00:00,2013-08-14,UPS
2018-04-17T11:03:00-04:00,2018-04-17,LUV
