Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,52.64,53.47,52.4,53.45,7035,0
2018-01-03,53.5,53.79,53.22,53.47,9855,0
2018-01-04,55.04,56.69,52.06,52.36,29599,0
2018-01-05,52.69,54.63,52.51,54.5,13172,0
2018-01-08,54.66,54.73,53.54,54.07,9079,0
2018-01-09,54.17,54.3,53.5,53.54,7613,0
2018-01-10,53.48,53.6,52.56,52.9,6769,0
2018-01-11,53.06,53.62,52.94,53.59,7681,0
2018-01-12,53.75,53.84,52.96,53.29,8673,0
2018-01-16,53.24,53.58,52.45,52.54,7337,0
2018-01-17,52.93,53.0,52.16,52.49,7821,0
2018-01-18,52.46,52.94,52.11,52.35,4878,0
2018-01-19,52.43,52.99,52.22,52.99,5269,0
2018-01-22,52.98,53.19,52.62,52.87,11667,0
2018-01-23,52.82,53.18,52.46,53.1,7570,0
2018-01-24,53.36,53.65,53.11,53.53,8623,0
2018-01-25,53.68,54.19,53.18,53.41,16791,0
2018-01-26,53.69,53.77,52.99,53.18,5312,0
2018-01-29,53.08,53.33,52.54,52.92,7081,0
2018-01-30,52.57,52.87,52.11,52.69,5826,0
2018-01-31,52.74,53.05,51.64,52.2,11338,0
2018-02-01,51.97,52.34,51.18,52.02,22505,0
2018-02-02,51.69,51.93,50.82,50.99,7780,0
2018-02-05,50.75,51.26,48.9,48.94,11417,0
2018-02-06,48.32,49.83,47.86,49.63,11725,0
2018-02-07,49.22,50.32,49.22,49.35,5521,0
2018-02-08,49.49,49.55,47.98,47.98,9350,0
2018-02-09,48.45,48.92,46.8,48.15,7707,0
2018-02-12,48.34,49.14,47.9,48.88,4817,0
2018-02-13,48.96,49.47,48.47,49.38,8573,0
2018-02-14,49.18,50.27,49.14,50.22,5873,0
2018-02-15,50.55,50.7,49.89,50.69,7914,0
2018-02-16,50.6,51.08,50.46,50.86,6049,0
2018-02-20,50.67,50.92,50.05,50.2,7712,0
2018-02-21,50.27,50.61,49.92,49.95,10360,0
2018-02-22,50.18,50.37,49.86,49.95,5947,0
2018-02-23,50.28,50.34,49.77,50.33,6973,0
2018-02-26,50.41,51.04,50.14,50.9,13370,0
2018-02-27,50.98,51.16,50.4,50.42,4190,0
2018-02-28,50.57,50.57,49.75,49.77,8972,0
2018-03-01,49.83,50.61,49.73,49.96,8905,0
2018-03-02,49.55,49.82,49.19,49.55,5502,0
2018-03-05,49.21,50.48,49.21,50.29,3226,0
2018-03-06,50.48,51.76,50.14,51.37,5564,0
2018-03-07,50.92,51.72,50.92,51.37,5831,0
2018-03-08,51.41,51.51,50.98,51.44,4358,0
2018-03-09,51.56,52.4,51.51,52.3,4142,0
2018-03-12,52.28,52.65,51.52,51.73,5976,0
2018-03-13,51.9,52.08,51.19,51.47,5061,0
2018-03-14,51.72,51.87,50.63,50.72,4714,0
2018-03-15,50.7,51.02,50.23,50.39,3400,0
2018-03-16,47.88,49.75,47.88,49.63,14656,0
2018-03-19,49.22,49.29,48.3,48.6,6762,0
2018-03-20,48.77,49.07,48.41,48.66,8393,0
2018-03-21,48.75,49.56,48.55,49.16,9790,0
2018-03-22,48.67,49.29,47.88,47.88,10089,0
2018-03-23,48.0,48.44,46.92,47.0,4095,0
2018-03-26,47.57,47.96,47.02,47.92,3215,0
2018-03-27,48.05,48.05,47.04,47.3,7254,0
2018-03-28,47.55,48.02,47.26,47.41,6836,0
2018-03-29,47.66,47.86,47.15,47.67,11218,0
2018-04-02,47.68,47.86,46.36,46.92,8452,0
2018-04-03,47.03,47.67,46.55,47.46,14831,0
2018-04-04,46.83,47.8,46.79,47.66,18679,0
2018-04-05,49.78,49.88,47.76,48.72,19090,0
2018-04-06,48.27,48.67,46.64,47.1,10700,0
2018-04-09,47.35,48.74,47.05,47.86,14621,0
2018-04-10,48.48,49.12,48.15,48.71,9674,0
2018-04-11,48.42,48.87,48.08,48.78,8374,0
2018-04-12,48.98,49.46,48.79,49.23,6956,0
2018-04-13,49.52,49.52,48.97,49.24,6903,0
2018-04-16,49.34,50.13,48.92,49.83,8566,0
2018-04-17,50.11,50.36,49.72,50.16,6668,0
2018-04-18,50.24,50.91,50.05,50.3,12437,0
2018-04-19,50.18,50.2,48.91,49.1,7785,0
2018-04-20,48.99,49.16,48.52,48.95,5794,0
2018-04-23,49.01,49.3,48.88,49.13,6018,0
2018-04-24,49.27,49.55,47.86,48.35,8130,0
2018-04-25,48.38,49.19,48.35,48.84,8056,0
2018-04-26,48.99,49.15,48.52,48.92,4151,0
2018-04-27,48.94,49.14,48.53,48.93,4853,0
2018-04-30,48.96,49.38,48.24,48.3,5413,0
2018-05-01,48.23,48.45,47.62,48.38,6808,0
2018-05-02,48.37,48.72,48.11,48.14,3683,0
2018-05-03,48.12,48.32,47.53,47.89,4518,0
2018-05-04,47.76,49.06,47.65,48.77,3941,0
2018-05-07,48.76,49.28,48.73,49.03,6538,0
2018-05-08,48.96,49.53,48.96,49.31,4064,0
2018-05-09,49.37,49.73,49.32,49.58,3835,0
2018-05-10,49.67,50.04,49.57,49.91,5758,0
2018-05-11,49.97,50.27,49.25,49.47,5671,0
2018-05-14,49.5,49.83,49.46,49.66,2916,0
2018-05-15,49.5,49.9,49.22,49.84,6544,0
2018-05-16,49.81,50.67,49.81,50.44,9595,0
2018-05-17,50.4,50.97,50.4,50.88,6423,0
2018-05-18,50.85,51.66,50.81,51.25,8999,0
