ticker,exchange,eps_pct_diff_surp,asof_date,act_rpt_code
DLX,NYSE,0.75,2017-01-26,BTO
DNB,NYSE,-0.99,2017-02-08,AMC
DOV,NYSE,-15.48,2017-01-26,BTO
DOW,NYSE,12.5,2017-01-26,BTO
DRE,NYSE,3.33,2017-01-25,AMC
DHI,NYSE,17.02,2017-01-24,BTO
UFS,NYSE,-17.58,2017-02-09,BTO
DTE,NYSE,-3.57,2017-02-09,BTO
DVN,NYSE,31.58,2017-02-14,AMC
DV,NYSE,16.44,2017-02-02,AMC
EAT,NYSE,-5.33,2017-01-25,BTO
ECL,NYSE,-2.34,2017-02-21,BTO
ED,NYSE,2.99,2017-02-16,AMC
EFX,NYSE,2.9,2017-02-08,AMC
EGN,NYSE,-17.39,2017-02-09,AMC
EGP,NYSE,0.93,2017-02-01,AMC
ELY,NYSE,-5.88,2017-02-02,AMC
EMR,NYSE,13.95,2017-02-07,BTO
EOG,NYSE,93.75,2017-02-27,AMC
EQT,NYSE,350.0,2017-02-02,BTO
ESE,NYSE,-10.87,2017-02-07,AMC
ESL,NYSE,78.26,2017-02-02,AMC
ESV,NYSE,80.0,2017-02-27,AMC
ETN,NYSE,1.82,2017-02-02,BTO
ETR,NYSE,181.82,2017-02-15,BTO
EXAR,NYSE,-50.0,2017-02-01,AMC
F,NYSE,-6.25,2017-01-27,None
CLGX,NYSE,16.67,2017-02-22,AMC
FCF,NYSE,29.41,2017-01-25,BTO
FBP,NYSE,22.22,2017-01-26,BTO
FICO,NYSE,73.13,2017-01-31,AMC
FMC,NYSE,-1.12,2017-02-06,AMC
S,NYSE,-50.0,2017-01-31,BTO
NEE,NYSE,-6.2,2017-01-27,BTO
FRT,NYSE,0.69,2017-02-13,AMC
FUN,NYSE,-300.0,2017-02-15,BTO
GVA,NYSE,-24.53,2017-02-17,BTO
TGNA,NYSE,12.12,2017-02-27,BTO
BGC,NYSE,-61.54,2017-02-08,AMC
GD,NYSE,3.15,2017-01-27,BTO
GGG,NYSE,17.65,2017-01-30,AMC
GHM,NYSE,111.11,2017-02-01,BTO
GLT,NYSE,11.11,2017-02-07,BTO
GLW,NYSE,13.64,2017-01-24,BTO
GSK,NYSE,14.04,2017-02-08,BTO
GATX,NYSE,8.57,2017-01-19,BTO
GPC,NYSE,0.99,2017-02-21,BTO
GRA,NYSE,1.06,2017-02-08,BTO
GWW,NYSE,3.81,2017-01-25,BTO
HAE,NYSE,7.5,2017-02-06,BTO
HAL,NYSE,100.0,2017-01-23,BTO
HAR,NYSE,18.72,2017-01-26,BTO
HVT,NYSE,18.6,2017-02-21,AMC
HCN,NYSE,1.85,2017-02-22,BTO
HCP,NYSE,3.51,2017-02-13,BTO
HOG,NYSE,-15.63,2017-01-31,BTO
HE,NYSE,-2.38,2017-02-14,DMT
HL,NYSE,-40.0,2017-02-23,BTO
HMC,NYSE,63.27,2017-02-04,None
HMN,NYSE,30.0,2017-02-06,AMC
HFC,NYSE,33.33,2017-02-22,BTO
HP,NYSE,-10.81,2017-01-26,BTO
HLS,NYSE,14.29,2017-02-21,AMC
EQC,NYSE,9.52,2017-02-15,AMC
HRS,NYSE,3.65,2017-02-02,BTO
HSC,NYSE,77.78,2017-02-24,BTO
HSY,NYSE,8.33,2017-02-03,BTO
HUBB,NYSE,9.76,2017-01-31,BTO
HUM,NYSE,1.46,2017-02-08,BTO
HXL,NYSE,3.23,2017-01-25,AMC
IBM,NYSE,2.45,2017-01-19,AMC
IDA,NYSE,8.2,2017-02-23,BTO
IEX,NYSE,3.23,2017-01-30,AMC
IFF,NYSE,5.17,2017-02-15,AMC
INT,NYSE,-50.0,2017-02-14,AMC
IP,NYSE,2.82,2017-02-02,BTO
IPG,NYSE,13.64,2017-02-10,BTO
IR,NYSE,-8.7,2017-02-01,BTO
ITW,NYSE,1.46,2017-01-25,BTO
IVC,NYSE,-53.33,2017-02-09,BTO
JEC,NYSE,7.94,2017-02-08,BTO
JNJ,NYSE,1.28,2017-01-24,BTO
K,NYSE,8.24,2017-02-09,BTO
